episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
139,0,0.974,-1.026,0.4982,0.4982
140,1,-1.011,0.989,0.4957,0.4957
141,1,-1.019,0.981,0.4932,0.4932
142,1,-1.013,0.987,0.4908,0.4908
143,0,0.978,-1.022,0.4883,0.4883
144,0,0.974,-1.026,0.4859,0.4859
145,0,0.982,-1.018,0.4834,0.4834
146,1,-1.021,0.979,0.481,0.481
147,1,-1.019,0.981,0.4786,0.4786
148,0,0.976,-1.024,0.4762,0.4762
149,0,0.976,-1.024,0.4738,0.4738
150,1,-1.023,0.977,0.4715,0.4715
151,0,0.976,-1.024,0.4691,0.4691
152,1,-1.011,0.989,0.4668,0.4668
153,1,-1.021,0.979,0.4644,0.4644
154,0,0.988,-1.012,0.4621,0.4621
155,0,0.99,-1.01,0.4598,0.4598
156,0,0.984,-1.016,0.4575,0.4575
157,1,-1.017,0.983,0.4552,0.4552
158,1,-1.019,0.981,0.4529,0.4529
159,0,0.976,-1.024,0.4507,0.4507
160,1,-1.027,0.973,0.4484,0.4484
161,0,0.978,-1.022,0.4462,0.4462
162,0,0.994,-1.006,0.444,0.444
163,1,-1.021,0.979,0.4417,0.4417
164,1,-1.011,0.989,0.4395,0.4395
165,1,-1.017,0.983,0.4373,0.4373
166,0,0.982,-1.018,0.4351,0.4351
167,0,0.976,-1.024,0.433,0.433
168,0,0.974,-1.026,0.4308,0.4308
169,0,0.982,-1.018,0.4286,0.4286
170,1,-1.027,0.973,0.4265,0.4265
171,0,0.984,-1.016,0.4244,0.4244
172,0,0.982,-1.018,0.4223,0.4223
173,0,0.984,-1.016,0.4201,0.4201
174,0,0.978,-1.022,0.418,0.418
175,1,-1.013,0.987,0.4159,0.4159
176,0,0.984,-1.016,0.4139,0.4139
177,0,0.99,-1.01,0.4118,0.4118
178,0,0.976,-1.024,0.4097,0.4097
179,1,-1.017,0.983,0.4077,0.4077
180,0,0.992,-1.008,0.4057,0.4057
181,0,0.978,-1.022,0.4036,0.4036
182,1,-1.019,0.981,0.4016,0.4016
183,1,-1.023,0.977,0.3996,0.3996
184,1,-1.015,0.985,0.3976,0.3976
185,1,-1.009,0.991,0.3956,0.3956
186,1,-1.021,0.979,0.3936,0.3936
187,0,0.982,-1.018,0.3917,0.3917
188,1,-1.017,0.983,0.3897,0.3897
189,0,0.984,-1.016,0.3878,0.3878
190,1,-1.009,0.991,0.3858,0.3858
191,0,0.982,-1.018,0.3839,0.3839
192,1,-1.013,0.987,0.382,0.382
193,0,0.984,-1.016,0.3801,0.3801
194,1,-1.021,0.979,0.3782,0.3782
195,0,0.974,-1.026,0.3763,0.3763
196,1,-1.013,0.987,0.3744,0.3744
197,1,-1.019,0.981,0.3725,0.3725
198,0,0.984,-1.016,0.3707,0.3707
199,0,0.978,-1.022,0.3688,0.3688
200,1,-1.023,0.977,0.367,0.367
201,1,-1.021,0.979,0.3651,0.3651
202,0,0.976,-1.024,0.3633,0.3633
203,1,-1.015,0.985,0.3615,0.3615
204,1,-1.019,0.981,0.3597,0.3597
205,1,-1.019,0.981,0.3579,0.3579
206,1,-1.017,0.983,0.3561,0.3561
207,0,0.992,-1.008,0.3543,0.3543
208,0,0.982,-1.018,0.3525,0.3525
209,0,0.986,-1.014,0.3508,0.3508
210,1,-1.021,0.979,0.349,0.349
211,0,0.994,-1.006,0.3473,0.3473
212,0,0.984,-1.016,0.3455,0.3455
213,1,-1.023,0.977,0.3438,0.3438
214,0,0.988,-1.012,0.3421,0.3421
215,1,-1.013,0.987,0.3404,0.3404
216,1,-1.025,0.975,0.3387,0.3387
217,1,-1.023,0.977,0.337,0.337
218,1,-1.013,0.987,0.3353,0.3353
219,0,0.982,-1.018,0.3336,0.3336
220,0,0.976,-1.024,0.332,0.332
221,1,-1.007,0.993,0.3303,0.3303
222,0,0.982,-1.018,0.3286,0.3286
223,0,0.978,-1.022,0.327,0.327
224,1,-1.021,0.979,0.3254,0.3254
225,0,0.99,-1.01,0.3237,0.3237
226,0,0.978,-1.022,0.3221,0.3221
227,1,-1.009,0.991,0.3205,0.3205
228,0,0.976,-1.024,0.3189,0.3189
229,0,0.986,-1.014,0.3173,0.3173
230,1,-1.011,0.989,0.3157,0.3157
231,0,0.982,-1.018,0.3141,0.3141
232,0,0.974,-1.026,0.3126,0.3126
233,1,-1.013,0.987,0.311,0.311
234,1,-1.007,0.993,0.3095,0.3095
235,1,-1.017,0.983,0.3079,0.3079
236,1,-1.013,0.987,0.3064,0.3064
237,0,0.988,-1.012,0.3048,0.3048
238,1,-1.023,0.977,0.3033,0.3033
239,1,-1.019,0.981,0.3018,0.3018
240,1,-1.025,0.975,0.3003,0.3003
241,0,0.98,-1.02,0.2988,0.2988
242,0,0.98,-1.02,0.2973,0.2973
243,1,-1.011,0.989,0.2958,0.2958
244,1,-1.017,0.983,0.2943,0.2943
245,0,0.988,-1.012,0.2929,0.2929
246,0,0.994,-1.006,0.2914,0.2914
247,1,-1.015,0.985,0.2899,0.2899
248,0,0.988,-1.012,0.2885,0.2885
249,1,-1.021,0.979,0.287,0.287
250,1,-1.015,0.985,0.2856,0.2856
251,1,-1.011,0.989,0.2842,0.2842
252,1,-1.015,0.985,0.2828,0.2828
253,0,0.992,-1.008,0.2813,0.2813
254,0,0.976,-1.024,0.2799,0.2799
255,0,0.976,-1.024,0.2785,0.2785
256,0,0.982,-1.018,0.2771,0.2771
257,1,-1.021,0.979,0.2758,0.2758
