episode,winner,reward_0,reward_1,loss_0,loss_1,entropy_0,entropy_1
93,0,0.989,-0.011,1.69181,-1.62041,3.308537,3.564055
94,1,-0.01,0.991,-1.270487,1.70763,3.61832,3.62929
95,1,-0.009,0.992,-1.732326,2.118947,4.244717,3.977608
96,1,-0.012,0.989,-0.961748,1.079075,3.368782,3.629414
97,1,-0.014,0.987,-0.689995,0.055446,3.420255,3.191041
98,1,-0.011,0.99,-0.408665,0.016702,3.382829,3.349435
99,0,0.991,-0.009,3.111181,-2.545418,4.11642,3.731741
100,1,-0.014,0.987,-0.677245,0.519084,3.3834,3.593181
101,0,0.987,-0.013,3.079878,-2.221722,4.090456,3.219944
102,1,-0.011,0.99,-0.501285,0.156269,3.387057,4.50566
103,0,0.987,-0.013,2.220678,-2.134266,3.318206,3.336174
104,1,-0.01,0.991,-0.682706,0.643968,3.237505,4.299178
105,0,0.988,-0.012,2.036863,-2.077023,3.402354,3.363295
106,1,-0.011,0.99,-1.188028,1.318666,3.902457,4.065816
107,0,0.988,-0.012,2.027734,-2.013711,3.476608,3.572717
108,0,0.988,-0.012,1.450889,-1.499698,2.950266,2.927336
109,0,0.987,-0.013,1.539753,-1.517897,3.736226,3.320368
110,0,0.992,-0.008,1.526796,-1.217166,4.504563,3.836601
111,1,-0.011,0.99,-2.792275,2.582566,4.198627,3.954589
112,0,0.99,-0.01,0.110569,-0.932092,4.05751,3.389396
113,1,-0.013,0.988,-2.206695,2.44079,3.249953,3.658034
114,0,0.993,-0.007,1.216462,-1.227466,3.566854,3.964762
115,0,0.992,-0.008,0.361474,-0.83671,4.082967,3.722607
116,0,0.987,-0.013,0.339544,-0.811815,3.423339,3.45595
117,1,-0.005,0.996,-2.618105,3.733465,3.671318,4.69523
118,1,-0.013,0.988,-1.922969,1.986761,3.051761,3.156466
119,1,-0.013,0.988,-1.94184,1.706924,3.429724,3.295168
120,1,-0.008,0.993,-1.595288,2.394933,3.307637,3.938039
