episode,winner,reward_0,reward_1,epsilon_0,epsilon_1
138,0,0.99,-0.01,0.500709,0.500709
139,0,0.991,-0.009,0.498205,0.498205
140,1,-0.007,0.994,0.495714,0.495714
141,0,0.99,-0.01,0.493236,0.493236
142,1,-0.015,0.986,0.490769,0.490769
143,0,0.995,-0.005,0.488316,0.488316
144,0,0.988,-0.012,0.485874,0.485874
145,0,0.992,-0.008,0.483445,0.483445
146,0,0.992,-0.008,0.481027,0.481027
147,1,-0.006,0.995,0.478622,0.478622
148,1,-0.014,0.987,0.476229,0.476229
149,0,0.993,-0.007,0.473848,0.473848
150,1,-0.013,0.988,0.471479,0.471479
151,0,0.987,-0.013,0.469121,0.469121
152,0,0.986,-0.014,0.466776,0.466776
153,1,-0.01,0.991,0.464442,0.464442
154,1,-0.015,0.986,0.46212,0.46212
155,0,0.994,-0.006,0.459809,0.459809
156,1,-0.015,0.986,0.45751,0.45751
157,0,0.991,-0.009,0.455222,0.455222
158,0,0.985,-0.015,0.452946,0.452946
159,1,-0.011,0.99,0.450682,0.450682
160,1,-0.011,0.99,0.448428,0.448428
161,0,0.985,-0.015,0.446186,0.446186
162,1,-0.011,0.99,0.443955,0.443955
163,0,0.99,-0.01,0.441735,0.441735
164,1,-0.016,0.985,0.439527,0.439527
165,0,0.989,-0.011,0.437329,0.437329
166,0,0.991,-0.009,0.435142,0.435142
167,0,0.989,-0.011,0.432967,0.432967
168,1,-0.01,0.991,0.430802,0.430802
169,0,0.987,-0.013,0.428648,0.428648
170,0,0.989,-0.011,0.426505,0.426505
171,1,-0.013,0.988,0.424372,0.424372
172,0,0.985,-0.015,0.42225,0.42225
173,0,0.989,-0.011,0.420139,0.420139
174,0,0.989,-0.011,0.418038,0.418038
175,0,0.987,-0.013,0.415948,0.415948
176,1,-0.016,0.985,0.413868,0.413868
177,1,-0.012,0.989,0.411799,0.411799
178,0,0.989,-0.011,0.40974,0.40974
179,0,0.987,-0.013,0.407691,0.407691
180,0,0.994,-0.006,0.405653,0.405653
181,1,-0.01,0.991,0.403625,0.403625
182,1,-0.015,0.986,0.401606,0.401606
183,0,0.992,-0.008,0.399598,0.399598
184,0,0.986,-0.014,0.3976,0.3976
185,0,0.992,-0.008,0.395612,0.395612
186,0,0.986,-0.014,0.393634,0.393634
187,1,-0.011,0.99,0.391666,0.391666
188,0,0.986,-0.014,0.389708,0.389708
189,0,0.984,-0.016,0.387759,0.387759
190,1,-0.009,0.992,0.385821,0.385821
191,0,0.991,-0.009,0.383891,0.383891
192,0,0.99,-0.01,0.381972,0.381972
193,0,0.99,-0.01,0.380062,0.380062
194,0,0.987,-0.013,0.378162,0.378162
195,1,-0.01,0.991,0.376271,0.376271
196,1,-0.014,0.987,0.37439,0.37439
197,1,-0.014,0.987,0.372518,0.372518
198,1,-0.012,0.989,0.370655,0.370655
199,1,-0.014,0.987,0.368802,0.368802
200,1,-0.013,0.988,0.366958,0.366958
201,0,0.986,-0.014,0.365123,0.365123
202,1,-0.014,0.987,0.363297,0.363297
203,1,-0.01,0.991,0.361481,0.361481
204,1,-0.009,0.992,0.359674,0.359674
205,1,-0.013,0.988,0.357875,0.357875
206,0,0.987,-0.013,0.356086,0.356086
