episode,opponent,learner_won,winner,reward_learner,epsilon
167,self,0,0,-0.016,0.432967
168,minimax,0,0,-0.008,0.430802
169,frozen,1,1,0.985,0.428648
170,frozen,1,1,0.99,0.426505
171,frozen,1,0,0.99,0.424372
172,random,0,1,-0.01,0.42225
173,frozen,1,0,0.986,0.420139
174,random,1,0,0.986,0.418038
175,heuristic,0,0,-0.008,0.415948
176,minimax,0,0,-0.005,0.413868
177,random,0,0,-0.013,0.411799
178,frozen,1,0,0.985,0.40974
179,heuristic,1,1,0.996,0.407691
180,self,1,0,0.986,0.405653
181,self,1,0,0.987,0.403625
182,frozen,0,1,-0.016,0.401606
183,minimax,0,1,-0.007,0.399598
184,minimax,0,1,-0.002,0.3976
185,self,1,1,0.987,0.395612
186,frozen,1,1,0.991,0.393634
187,frozen,0,1,-0.016,0.391666
188,random,0,1,-0.011,0.389708
189,heuristic,0,1,-0.004,0.387759
190,frozen,1,0,0.986,0.385821
191,random,1,1,0.991,0.383891
192,frozen,0,1,-0.015,0.381972
193,minimax,0,1,-0.004,0.380062
194,self,1,0,0.991,0.378162
195,minimax,0,0,-0.006,0.376271
196,random,1,0,0.989,0.37439
197,random,1,0,0.986,0.372518
198,frozen,1,0,0.99,0.370655
199,minimax,0,1,-0.002,0.368802
200,minimax,0,0,-0.008,0.366958
201,frozen,1,1,0.994,0.365123
202,heuristic,0,0,-0.004,0.363297
203,heuristic,1,1,0.995,0.361481
204,minimax,0,1,-0.007,0.359674
205,self,0,0,-0.013,0.357875
206,frozen,1,0,0.986,0.356086
207,frozen,1,0,0.985,0.354305
208,frozen,0,1,-0.015,0.352534
209,heuristic,0,1,-0.004,0.350771
210,minimax,0,0,-0.008,0.349017
211,self,1,0,0.985,0.347272
212,frozen,1,0,0.985,0.345536
213,minimax,0,0,-0.006,0.343808
214,random,1,0,0.989,0.342089
215,heuristic,0,0,-0.008,0.340379
216,frozen,1,0,0.985,0.338677
217,frozen,0,0,-0.01,0.336983
218,self,1,0,0.993,0.335298
219,minimax,0,0,-0.006,0.333622
220,random,0,1,-0.011,0.331954
221,random,0,1,-0.012,0.330294
222,minimax,0,1,-0.01,0.328643
223,frozen,0,0,-0.012,0.326999
224,heuristic,0,0,-0.002,0.325364
225,self,0,1,-0.004,0.323738
226,frozen,1,0,0.987,0.322119
227,self,0,1,-0.013,0.320508
228,frozen,1,1,0.993,0.318906
229,heuristic,0,1,-0.004,0.317311
230,minimax,0,1,-0.002,0.315725
231,frozen,0,0,-0.006,0.314146
232,frozen,0,1,-0.014,0.312575
233,minimax,0,1,-0.005,0.311012
234,self,1,1,0.987,0.309457
235,random,0,0,-0.015,0.30791
236,frozen,1,0,0.993,0.306371
237,heuristic,0,0,-0.007,0.304839
238,frozen,1,1,0.993,0.303315
239,self,0,0,-0.015,0.301798
240,frozen,1,1,0.986,0.300289
241,random,0,1,-0.014,0.298788
242,frozen,1,0,0.991,0.297294
243,random,0,0,-0.011,0.295807
244,minimax,0,0,-0.007,0.294328
245,heuristic,0,0,-0.002,0.292856
246,heuristic,0,0,-0.003,0.291392
247,minimax,0,1,-0.002,0.289935
248,heuristic,0,0,-0.007,0.288486
249,self,0,0,-0.014,0.287043
250,frozen,1,1,0.986,0.285608
251,self,1,0,0.991,0.28418
252,frozen,1,1,0.985,0.282759
253,frozen,1,1,0.989,0.281345
254,self,1,1,0.99,0.279938
255,frozen,1,1,0.985,0.278539
256,frozen,1,0,0.985,0.277146
257,frozen,1,1,0.984,0.27576
258,random,0,1,-0.011,0.274382
259,frozen,0,0,-0.012,0.27301
260,frozen,0,0,-0.008,0.271645
261,frozen,0,0,-0.016,0.270286
262,frozen,0,1,-0.009,0.268935
263,minimax,0,1,-0.003,0.26759
264,frozen,0,1,-0.012,0.266252
265,frozen,0,0,-0.014,0.264921
266,heuristic,1,0,0.996,0.263596
267,frozen,1,1,0.989,0.262278
268,frozen,0,1,-0.014,0.260967
